country,gdp_per_capita,gdp_growth,inflation,unemployment,exports_gdp,life_expectancy,infant_mortality,fertility_rate,health_expenditure,physicians,literacy_rate,school_enrollment_secondary,school_enrollment_tertiary,electricity_access,renewable_energy,mobile_subscriptions,internet_users,control_corruption,government_effectiveness,population,urban_population,poverty_ratio
Afghanistan,,,-6.60118564073727,13.295,,66.035,50.4,4.84,,,,,,85.3,20.0,55.5475,,-1.15493178367615,-1.98701369762421,42647492,27.265,
Albania,18920.8942644729,3.96171911223713,2.21448953273292,10.25,36.1095621958381,79.602,8.3,1.348,,,,108.355392456055,81.9986267089844,100.0,,92.9973,,-0.332218527793884,0.250855356454849,2714617,65.38,
Algeria,15442.1244460542,3.29999999939609,4.04611455313438,11.427,,76.261,19.7,2.766,,,,105.164131811213,54.4283410150344,100.0,,111.606,,-0.589308321475983,-0.670135140419006,46814308,75.748,
American Samoa,,,,,,72.852,,2.286,,,,,,,0.4,,,1.25135612487793,0.654167771339417,46765,87.284,
Andorra,65928.3071971004,3.37182032638998,,,,84.041,2.5,1.082,7.92821121,,,101.923820495605,67.6767676767677,100.0,18.7,156.097,,1.25135612487793,1.4754387140274,81938,87.747,
Angola,7344.14537855393,4.42390452944746,28.2404948915773,14.464,37.8827428063986,64.617,38.3,5.124,,0.244,,,9.9549065722902,51.1,,70.052,,-0.60992020368576,-1.00890958309174,37885849,69.281,
Antigua and Barbuda,29561.807425139,4.32752145036402,6.19886698842119,,,77.598,7.3,1.578,,,,,,100.0,0.9,,,0.326792687177658,0.380410820245743,93772,24.338,
Argentina,26547.0503429365,-1.71910514722377,219.883929014578,7.876,15.3342337389676,77.395,8.2,1.5,,4.082,,,,100.0,,137.706,89.6672,-0.360883951187134,-0.377517342567444,45696159,92.579,38.1
Armenia,20078.7848984844,5.90000000046228,0.269511978259078,13.329,76.3471180026783,77.4658536585366,8.9,1.9,,,,90.9458714101262,52.7748065090859,100.0,,134.52,,0.0583996474742889,-0.184129968285561,3033500,63.929,
Aruba,,,,,,76.353,,1.602,,,,124.379366731084,14.0655418559377,100.0,8.8,,,0.709075331687927,0.795440852642059,107624,44.474,
Australia,60082.005786975,1.4311125201703,3.16161428305747,4.072,24.705209306537,83.0512195121951,3.1,1.5,,,,,,100.0,,112.513,,1.78120493888855,1.58987963199615,27204809,86.75,
Austria,63314.4627876454,-1.17354053552188,2.93791574279385,5.439,56.9234364188164,81.5414634146342,2.6,1.32,10.87779903,5.508,,,,100.0,,121.746,94.9197,1.1336532831192,1.32668149471283,9178482,59.819,
Azerbaijan,22072.1058327346,4.07140210544654,2.21217188919901,5.594,45.9025463640897,74.429,13.3,1.55,,,,91.1228035886648,41.3413783372226,100.0,,107.687,,-1.19547140598297,-0.0326422192156315,10202850,57.997,
"Bahamas, The",36244.0360489936,3.37850660746146,0.409162489083242,8.463,37.7835884998232,74.552,11.4,1.373,,,,79.4858750299258,,100.0,1.1,100.048,,1.26691007614136,0.270353257656097,401283,83.764,
Bahrain,59129.1406763003,3.01724839092739,0.919635459817729,1.102,,81.284,7.2,1.824,,,97.8199996948242,98.8139181413527,58.3677241853667,100.0,,153.9,100.0,0.177784815430641,0.697198748588562,1588670,89.999,
Bangladesh,8486.78495660517,4.22325911250161,10.4657482763412,4.68,10.4611880382843,74.672,24.4,2.163,,,,64.2997191043961,23.7295608009814,99.5,,114.355,,-1.12086641788483,-0.697334110736847,173562364,41.23,
Barbados,19945.7371938511,3.80000031896743,-0.462229168356189,7.529,,76.178,9.3,1.708,,2.965,,104.371182990274,53.5815662047086,100.0,5.5,,,1.34458589553833,0.380443245172501,282467,31.548,
Belarus,29037.5291400434,4.00984852465452,5.78531910427999,3.361,65.0639450286877,74.1837804878049,1.9,1.208,,,,94.7902702871216,70.1107509145358,100.0,,128.979,94.2618,-0.665028035640717,-0.991465747356415,9133712,81.125,
Belgium,63083.1843669076,1.01889862506124,3.14349136500037,5.488,79.2199111409925,82.3975609756098,3.0,1.47,,,,,,100.0,,103.196,95.7758,1.3368444442749,1.03702199459076,11876844,98.224,
Belize,13277.9352658254,8.15178982706797,3.28955985952764,7.0,,73.566,10.8,2.007,,,,86.4571583269413,24.8098643151325,99.6,30.8,,,-0.226113811135292,-0.376311779022217,417072,46.838,
Benin,3901.32588494392,7.45311566226201,1.16093089640415,1.722,18.84015691814,60.774,46.4,4.556,,0.195,,,,57.0,,116.036,,-0.0495794489979744,-0.218984127044678,14462724,50.669,
Bermuda,105322.911174674,2.10536882220231,,,56.3105498763947,82.309,,1.401,,,,,,100.0,0.9,,,1.25135612487793,1.20168173313141,64636,100.0,
Bhutan,,,2.76131569624095,2.856,,72.975,18.5,1.462,,0.552,,86.1810001963554,13.011259392916,100.0,82.5,95.6261,,1.53142273426056,0.566305339336395,791524,45.0,
Bolivia,9844.27685167629,1.38468278972252,5.09976568317427,3.091,,68.581,20.0,2.547,,,,,,99.8,,,,-0.838301062583923,-0.639481067657471,12413315,71.545,
Bosnia and Herzegovina,20429.7007276332,2.48004708382834,1.69212733599721,10.723,42.8209562840181,77.85,5.3,1.486,,,,,,100.0,,117.734,86.1009,-0.581560015678406,-0.967812538146973,3164253,50.708,
Botswana,18068.5050698005,-2.98986879467928,2.8183513167625,23.138,26.0469933952779,69.163,38.2,2.732,,0.378,,,21.4087908549348,76.0,,179.027,,0.685792088508606,0.430828422307968,2521139,73.49,
